,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Smoothed Response
0,-0.0729746524164841,-0.4693047099269965,-0.18377793037800563,-0.278821682641538,-0.20916098330897798,0.03899111108480948,-0.09238922663802394,-0.06224762572848332,-0.18457578890422313,-0.04719370105951186,-0.23620848465143054,-0.09650261267655737,0.07641955137440637,0.17835345765755692,0.08587259710994342,-0.054348917882801655,-0.3311837706938695,0.14146884627391318,-0.031024080280059277,0.04084120093555754,2.2421262952111163e-05
1,-0.0729746524164841,-0.4693047099269965,-0.18377793037800563,-0.278821682641538,-0.20916098330897798,0.03899111108480948,-0.09238922663802394,-0.06224762572848332,-0.18457578890422313,-0.04719370105951186,-0.23620848465143054,-0.09650261267655737,0.07641955137440637,0.17835345765755692,0.08587259710994342,-0.054348917882801655,-0.3311837706938695,0.14146884627391318,-0.031024080280059277,0.04084120093555754,0.00036451314950862267
2,-0.0729746524164841,-0.4693047099269965,-0.18377793037800563,-0.278821682641538,-0.20916098330897798,0.03899111108480948,-0.09238922663802394,-0.06224762572848332,-0.18457578890422313,-0.04719370105951186,-0.23620848465143054,-0.09650261267655737,0.07641955137440637,0.17835345765755692,0.08587259710994342,-0.054348917882801655,-0.3311837706938695,0.14146884627391318,-0.031024080280059277,0.04084120093555754,0.001052640319905311
3,-0.0729746524164841,-0.4693047099269965,-0.18377793037800563,-0.278821682641538,-0.20916098330897798,0.03899111108480948,-0.09238922663802394,-0.06224762572848332,-0.18457578890422313,-0.04719370105951186,-0.23620848465143054,-0.09650261267655737,0.07641955137440637,0.17835345765755692,0.08587259710994342,-0.054348917882801655,-0.3311837706938695,0.14146884627391318,-0.031024080280059277,0.04084120093555754,0.002208041886130912
4,-0.0729746524164841,-0.4693047099269965,-0.18377793037800563,-0.278821682641538,-0.20916098330897798,0.03899111108480948,-0.09238922663802394,-0.06224762572848332,-0.18457578890422313,-0.04719370105951186,-0.23620848465143054,-0.09650261267655737,0.07641955137440637,0.17835345765755692,0.08587259710994342,-0.054348917882801655,-0.3311837706938695,0.14146884627391318,-0.031024080280059277,0.04084120093555754,0.0036430888012897265
5,-0.3513904769137066,-0.32875848751655146,1.288635846437332,-0.020375572304569208,-0.6580762231426315,0.38260076260112885,-0.7335048214946502,0.7751620935020574,-0.2161328050585057,0.15272086810814614,-0.677131231135975,-0.21803788649475672,-0.1581577587098224,-0.14830010257511056,-0.4182058349541993,-0.1446930784933778,-0.028301916687256512,-0.16118640411689106,0.0624835640658786,0.10248874287910273,0.004728453754073785
6,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.004828173113892991
7,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.003878493082097655
8,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.0024569748770923478
9,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.0014879592373360454
10,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.0013502227257406636
11,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.002002801846548949
12,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.003526187351314245
13,-0.3407914414903604,-0.3683335312905394,1.1681149125784054,-0.08668189926413938,-0.6371320122428664,0.3013004371650455,-0.701279096172508,-0.008341105573398636,-0.7025815063132101,0.3948729365422529,-0.4821999303345159,-0.16349657633299314,-0.17724004830132817,-0.15339365252360979,-0.3805002278071355,-0.1244109276830344,0.02004788570663189,-0.1652334054856754,0.036650208502448704,0.08314412803650442,0.0052756706124118865
14,-0.32580307390408747,-0.33957971013047955,1.0487424195471056,-0.07608551438566541,-0.5398003104162603,0.24597611984069664,-0.5429062212153216,-0.015764468647935084,-0.5047944116149354,0.2661432555926666,-0.3035316890684972,-0.09230719441767084,-0.08754202953740281,-0.06267227456268303,-0.13749739362887461,-0.03407284252363039,-0.026126555927293942,-0.021453957606440324,-0.008314242492053377,-0.009764187509865215,0.0067254632727193195
15,-0.3043133037570681,-0.32143957263361067,0.8461714322329172,-0.05299561597452988,-0.3337533810882338,0.15449528482312844,-0.36982952570618133,-0.021279535403089453,-0.21812681445223725,0.1507628438069586,-0.06774008925117073,-0.013932902244718224,0.09539701873082139,-0.04579239405229519,0.17212218426809245,0.03905552564341725,0.06760896144881332,0.28261703077896744,-0.1713695414621004,-0.2822369594987163,0.007907347587094198
16,0.02047414650983926,-0.10901357437603855,0.8178738342211008,-0.0072549817361143,-0.8419048322001117,0.12977533829046523,-0.2862453081737231,-0.026357014502762996,-0.06659754493638585,0.27270594662374703,0.28345155392405996,0.1399416457273415,0.5141936574972552,0.20269335878076108,-0.13970512764742815,-0.07307471641212575,0.18645079934263759,0.2586487443633991,-0.1336342917115714,-0.2959553130167446,0.009185449389387859
17,0.04405506723095116,-0.11619612548980741,0.8844540251174655,-0.0264867879351829,-0.9428535619355513,0.14149525839566024,-0.34990649633603077,0.04466973547710054,-0.11607734297145542,0.3400753381155847,0.44296355774868296,0.24106746641172735,0.7018666758645553,0.19627228259250643,0.6606450785430019,0.005733590620959105,0.40150461267667226,0.19939068852145753,-0.005677128604376109,-0.22512927013091835,0.010563799436437434
18,-0.28073238303595616,-0.32862212374737954,0.9127516231292819,-0.07222742217359848,-0.43470211082367344,0.16621520492832345,-0.43349071386848903,0.049747214576774085,-0.2676066124873068,0.21813223529879627,0.0917719145734523,0.0871929184396676,0.2830700370981216,-0.052213470240549835,0.9724723904585225,0.11786383267650209,0.28266277478284796,0.2233589749370259,-0.04341237835490512,-0.21141091661289002,0.011645324572995584
19,-0.28073238303595616,-0.32862212374737954,0.9127516231292819,-0.07222742217359848,-0.43470211082367344,0.16621520492832345,-0.43349071386848903,0.049747214576774085,-0.2676066124873068,0.21813223529879627,0.0917719145734523,0.0871929184396676,0.2830700370981216,-0.052213470240549835,0.9724723904585225,0.11786383267650209,0.28266277478284796,0.2233589749370259,-0.04341237835490512,-0.21141091661289002,0.011761707927352696
20,0.02047414650983926,-0.10901357437603855,0.8178738342211008,-0.0072549817361143,-0.8419048322001117,0.12977533829046523,-0.2862453081737231,-0.026357014502762996,-0.06659754493638585,0.27270594662374703,0.28345155392405996,0.1399416457273415,0.5141936574972552,0.20269335878076108,-0.13970512764742815,-0.07307471641212575,0.18645079934263759,0.2586487443633991,-0.1336342917115714,-0.2959553130167446,0.010727872112963955
21,0.02047414650983926,-0.10901357437603855,0.8178738342211008,-0.0072549817361143,-0.8419048322001117,0.12977533829046523,-0.2862453081737231,-0.026357014502762996,-0.06659754493638585,0.27270594662374703,0.28345155392405996,0.1399416457273415,0.5141936574972552,0.20269335878076108,-0.13970512764742815,-0.07307471641212575,0.18645079934263759,0.2586487443633991,-0.1336342917115714,-0.2959553130167446,0.008511114922311323
22,0.02047414650983926,-0.10901357437603855,0.8178738342211008,-0.0072549817361143,-0.8419048322001117,0.12977533829046523,-0.2862453081737231,-0.026357014502762996,-0.06659754493638585,0.27270594662374703,0.28345155392405996,0.1399416457273415,0.5141936574972552,0.20269335878076108,-0.13970512764742815,-0.07307471641212575,0.18645079934263759,0.2586487443633991,-0.1336342917115714,-0.2959553130167446,0.005653837993777808
23,0.24661190486078127,-0.2303497276132568,-0.1628700333747579,-0.15526005403053245,-0.6366736763274399,0.06399066869974508,-0.039010502942999584,0.7223749337731522,0.5301725745620902,-0.145177489499617,-0.03572461967295494,0.005598041267243757,0.600870456396881,0.3513329712310459,-0.2090054705878374,-0.20670016967985044,-0.11119401481468584,0.27622185165229146,-0.08152356739149157,-0.1338704849145399,0.0031301961742268383
24,0.4451274713714748,-0.14517887270928653,-0.3194899840665772,-0.10136357209452103,-0.3112786428133732,-0.02261376972977718,-0.06473839123818484,-0.022745876905261156,0.08553588317158961,0.17808703642794046,0.2097982086551056,0.07407927473768386,0.5414634271741567,0.22352736226069608,-0.18847244661794313,-0.22027248240224456,0.25074117238674815,0.23975456003188367,-0.08222254097439585,-0.12603387540782185,0.0013659863619735215
25,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.00046663501305317
26,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,5.098937409672518e-05
27,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0
28,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0
29,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0
30,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0
31,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0
32,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0
33,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,3.1081413310550494e-05
34,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0007003444376301151
35,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0032193601746675227
36,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.008813265856076625
37,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.017777000743195836
38,-0.12699580809306704,-0.15711863018166453,0.9305933492589514,0.1335135198806219,-0.050246769373697375,0.23049149726577278,-0.4600088646456509,0.8006060520694094,0.310133896666671,-0.010276767133697535,-0.21207986252602817,-0.054534289097805305,0.07415456869110863,-0.16341090312564654,0.1172439939438591,-0.015081088699663703,0.3328445438624705,0.2542437418961282,-0.12040180391814487,-0.23571112030680172,0.028810002765586564
39,0.1097409856812212,-0.31802982719287076,-0.17067145219583404,-0.08079787937336641,0.17592859739873956,0.08340650223896935,-0.18054833409278526,0.7658348012698686,0.42045531491044263,-0.18600813482295475,-0.336324735321584,-0.13433658339613946,0.14174907799922873,-0.019864840623860965,0.08564925815051366,-0.12842439115704496,0.08354953209903547,0.2677698478162363,-0.09412443516149495,-0.09297090704719525,0.03786460806031204
40,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.04095695392718856
41,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.0378532673501978
42,0.14392094182567935,-0.3647874220806276,-0.22461219515839612,-0.1663360125320052,0.09592407856306502,0.013826096908081054,-0.21198379693295077,0.05335835217427595,-0.11547318437933136,0.1235133251029897,0.018118569304498008,0.02133054745000994,0.31033980677502315,-0.03137946676061487,0.9237050714880075,-0.0293339333136167,0.3469531478269586,0.20446479060551048,0.007999372382270399,-0.041489479003967315,0.03164771208460275
43,-0.10341488737195513,-0.1643011812954334,0.9971735401553161,0.11428171368155329,-0.151195499109137,0.2422114173709678,-0.5236700528079586,0.871632802049273,0.26065409863160144,0.05709262435814021,-0.05256785870140515,0.04659153158658052,0.26182758705840886,-0.16983197931390118,0.917594200134289,0.06372721833342113,0.5478983571965051,0.1949856860541867,0.007555359189050395,-0.1648850774209754,0.027148101767812134
44,0.45810935666924046,-0.11278638004906742,-0.1323888593112858,-0.05428905133401945,-0.43317158344857787,0.07040647581150114,-0.16062530472263467,0.8317840721500586,0.5225047863912244,0.003304359485671354,0.17437891167826966,0.12066378526030608,0.7482187351329627,0.22219983602094065,0.5741721524254231,-0.1617463261795031,0.41744518332689445,0.18454350555872645,0.07156797769622932,-0.03586321767939736,0.026264455921146276
45,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.026781130328978178
46,0.12034002110456743,-0.3576048709668587,-0.2911923860547608,-0.14710420633293658,0.19687280829850465,0.002106176802886037,-0.1483226087706431,-0.0176683978055876,-0.0659933863442618,0.05614393361115203,-0.141393434520125,-0.07979527323437587,0.12266678840772297,-0.024958390572360212,0.12335486529757746,-0.10814224034670156,0.13189933449292388,0.26372284644745203,-0.11995779072492485,-0.11231552188979356,0.026186590151773083
47,0.08988691217597661,-0.4309962373359601,-0.3316345775033535,-0.12764540946244043,0.17771802496532726,0.049716255363625325,-0.31656939720277644,-0.11674906684187016,0.10374564686256388,-0.05743039405321232,0.05386936540183811,-0.5669969144174615,-0.13972094692039036,0.492951986486343,0.1425096295033076,0.033147977751513895,0.341659958167363,0.013079836118063036,-0.22166041429167907,-0.03050330107323055,0.024385497227106933
48,0.08988691217597661,-0.4309962373359601,-0.3316345775033535,-0.12764540946244043,0.17771802496532726,0.049716255363625325,-0.31656939720277644,-0.11674906684187016,0.10374564686256388,-0.05743039405321232,0.05386936540183811,-0.5669969144174615,-0.13972094692039036,0.492951986486343,0.1425096295033076,0.033147977751513895,0.341659958167363,0.013079836118063036,-0.22166041429167907,-0.03050330107323055,0.022960978801508408
