,smoothed_response,character_change,object_change,landmark_change,location_change,time_of_day_change,sound_presence_change
0,2.2421262952111163e-05,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00036451314950862267,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001052640319905311,0.0,0.0,0.0,0.0,0.0,0.0
3,0.002208041886130912,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0036430888012897265,0.0,0.0,0.0,0.0,0.0,0.0
5,0.004728453754073785,0.0,0.0,0.0,0.0,0.0,0.0
6,0.004828173113892991,0.0,0.0,0.0,0.0,0.0,0.0
7,0.003878493082097655,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0024569748770923478,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0014879592373360454,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0013502227257406636,0.0,0.0,0.0,0.0,0.0,0.0
11,0.002002801846548949,0.0,0.0,0.0,0.0,0.0,0.0
12,0.003526187351314245,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0052756706124118865,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0067254632727193195,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
15,0.007907347587094198,0.0,0.0,0.0,0.0,0.0,0.0
16,0.009185449389387859,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
17,0.010563799436437434,0.0,0.0,0.0,0.0,0.0,0.0
18,0.011645324572995584,0.0,0.0,0.0,0.0,0.0,0.0
19,0.011761707927352696,0.0,0.0,0.0,0.0,0.0,0.0
20,0.010727872112963955,0.0,0.0,0.0,0.0,0.0,0.0
21,0.008511114922311323,0.0,0.0,0.0,0.0,0.0,0.0
22,0.005653837993777808,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0031301961742268383,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0013659863619735215,0.0,0.0,0.0,0.0,0.3779644730092272,0.0
25,0.00046663501305317,0.0,0.0,0.0,0.07001400420140048,0.0,0.0
26,5.098937409672518e-05,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,3.1081413310550494e-05,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0007003444376301151,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0032193601746675227,0.0,0.0,0.0,0.0,0.0,0.0
36,0.008813265856076625,0.0,0.0,0.0,0.0,0.0,0.0
37,0.017777000743195836,0.0,0.0,0.0,0.0,0.0,0.0
38,0.028810002765586564,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
39,0.03786460806031204,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
40,0.04095695392718856,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0378532673501978,0.0,0.0,0.0,0.0,0.0,0.0
42,0.03164771208460275,0.0,0.0,0.0,0.0,0.0,0.0
43,0.027148101767812134,0.0,0.0,0.0,0.0,0.0,0.0
44,0.026264455921146276,0.0,0.0,0.0,0.0,0.0,0.0
45,0.026781130328978178,0.0,0.0,0.0,0.0,0.0,0.0
46,0.026186590151773083,0.0,0.0,0.0,0.0,0.0,0.0
47,0.024385497227106933,0.0,0.0,0.0,0.07001400420140048,0.0,0.0
48,0.022960978801508408,0.0,0.0,0.0,0.0,0.0,0.0
49,0.02442782130276401,0.0,0.0,0.0,0.0,0.0,0.0
50,0.02778928507135626,0.0,0.0,0.0,0.0,0.0,0.0
51,0.030232087138063402,0.0,0.0,0.0,0.0,0.0,0.0
52,0.029522274286323598,0.03959037912324479,0.0,0.0,0.14002800840280097,0.0,0.0
53,0.025250096650551675,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0199984816285673,0.0,0.0,0.0,0.0,0.0,0.0
55,0.016808033533942564,0.0,0.0,0.0,0.0,0.0,0.0
56,0.015669627077310126,0.0,0.0,0.0,0.0,0.0,0.0
57,0.01566513898154404,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
58,0.015706302985496103,0.0,0.0,0.0,0.0,0.0,0.0
59,0.014280288275759376,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
60,0.01142118276524772,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
61,0.007659885411913416,0.0,0.0,0.0,0.0,0.0,0.0
62,0.004200223148476415,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0019029008088479818,0.0,0.0,0.0,0.0,0.0,0.0
64,0.001056365755291757,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0025331514346259875,0.0,0.0,0.0,0.0,0.0,0.0
66,0.007212397555189456,0.0,0.0,0.0,0.0,0.0,0.0
67,0.015381123587478627,0.0,0.0,0.0,0.0,0.0,0.0
68,0.026318853738930132,0.0,0.0,0.0,0.0,0.0,0.0
69,0.03732632875284811,0.0,0.0,0.0,0.0,0.0,0.0
70,0.04472782536506933,0.0,0.0,0.0,0.0,0.0,0.0
71,0.046648586695586906,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
72,0.04403788211413258,0.0,0.0,0.0,0.0,0.0,0.0
73,0.038902473713319216,0.0,0.0,0.0,0.14002800840280097,0.0,0.0
74,0.032006616098148415,0.0,0.0,0.0,0.0,0.0,0.0
75,0.023841822381942254,0.0,0.0,0.0,0.0,0.0,0.0
76,0.015505318822442986,0.0,0.0,0.0,0.0,0.0,0.0
77,0.00858327778284958,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0038380304135210387,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0012320131284468843,0.0,0.0,0.0,0.0,0.0,0.0
80,0.00018060862067243946,0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4.3679685863350034e-05,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0008241057347515074,0.0,0.0,0.0,0.0,0.0,0.0
84,0.002697664186217951,0.0,0.0,0.0,0.0,0.0,0.0
85,0.005866327130019554,0.0,0.0,0.0,0.0,0.0,0.0
86,0.010066659745557855,0.0,0.0,0.0,0.0,0.0,0.0
87,0.013638815601631377,0.0,0.0,0.0,0.0,0.0,0.0
88,0.014590861260864599,0.0,0.0,0.0,0.0,0.0,0.0
89,0.01243772165378047,0.0,0.0,0.0,0.0,0.0,0.0
90,0.009134162264368282,0.0,0.0,0.0,0.0,0.0,0.0
91,0.006753773721979549,0.0,0.0,0.0,0.0,0.0,0.0
92,0.006629937138296246,0.0,0.0,0.0,0.0,0.0,0.0
93,0.008021683547267448,0.0,0.0,0.0,0.0,0.0,0.0
94,0.009584550700300504,0.0,0.0,0.0,0.0,0.0,0.0
95,0.009430259195712111,0.0,0.0,0.0,0.0,0.0,0.0
96,0.007356782196271491,0.0,0.0,0.0,0.0,0.0,0.0
97,0.005267029061561146,0.0,0.0,0.0,0.0,0.0,0.0
98,0.005183935152709054,0.0,0.0,0.0,0.0,0.0,0.0
99,0.00788228499214687,0.0,0.0,0.0,0.0,0.0,0.0
100,0.014021703750802153,0.0,0.0,0.0,0.0,0.0,0.0
101,0.021560117842366604,0.0,0.0,0.0,0.0,0.0,0.0
102,0.027556810817617176,0.0,0.0,0.0,0.0,0.0,0.0
103,0.02954969793449622,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
104,0.026792357464162694,0.0,0.0,0.0,0.0,0.0,0.0
105,0.02070642983960178,0.0,0.0,0.0,0.0,0.0,0.0
106,0.014607453541715394,0.0,0.0,0.0,0.0,0.0,0.0
107,0.010793413585153991,0.0,0.0,0.0,0.0,0.0,0.0
108,0.012160862625864082,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
109,0.01793295887330285,0.0,0.0,0.0,0.0,0.0,0.0
110,0.025567011162253007,0.0,0.0,0.0,0.0,0.0,0.0
111,0.032554938658515546,0.0,0.0,0.0,0.0,0.0,0.0
112,0.03607265029495721,0.0,0.0,0.0,0.0,0.0,0.0
113,0.0354523032955609,0.0,0.09016696346674323,0.0,0.07001400420140048,0.0,0.0
114,0.03208387503320849,0.0,0.18033392693348646,0.0,0.0,0.0,0.0
115,0.02789741017878805,0.0,0.18033392693348646,0.0,0.0,0.0,0.0
116,0.024963695906319326,0.0,0.18033392693348646,0.0,0.0,0.0,0.0
117,0.02448467615099117,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
118,0.026392774206413873,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
119,0.030403467348204927,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
120,0.03561902926524308,0.0,0.0,0.0,0.14002800840280097,0.0,0.0
121,0.040148060228237276,0.0,0.0,0.0,0.0,0.0,0.0
122,0.04106942610266367,0.0,0.0,0.15249857033260467,0.0,0.0,0.0
123,0.03710054363209347,0.0,0.0,0.0,0.0,0.0,0.0
124,0.029747148118485334,0.03959037912324479,0.0,0.15249857033260467,0.0,0.0,0.0
125,0.022603746776420575,0.0,0.0,0.0,0.0,0.0,0.0
126,0.017122893262648705,0.0,0.0,0.0,0.0,0.0,0.0
127,0.01363701559797966,0.0,0.0,0.0,0.0,0.0,0.0
128,0.01198755715502998,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
129,0.011413143707294167,0.0,0.0,0.0,0.0,0.0,0.0
130,0.011473148034315091,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
131,0.011926225336042817,0.0,0.0,0.0,0.0,0.0,0.0
132,0.01255249412429977,0.0,0.0,0.0,0.0,0.0,0.0
133,0.012537503162155808,0.0,0.0,0.0,0.0,0.0,0.0
134,0.012116944906139735,0.03959037912324479,0.0,0.0,0.0,0.0,0.0
135,0.01189489293189481,0.0,0.0,0.0,0.0,0.0,0.0
136,0.011562799616563174,0.0,0.0,0.0,0.0,0.0,0.0
137,0.010572119815381892,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
138,0.009960240380886387,0.0,0.0,0.0,0.0,0.0,0.0
139,0.01113936891101472,0.0,0.0,0.0,0.0,0.0,0.0
140,0.015063140812660313,0.0,0.0,0.0,0.0,0.0,0.1270001270001905
141,0.020808113028690196,0.03959037912324479,0.0,0.0,0.0,0.0,0.1270001270001905
142,0.0249947873695157,0.0,0.0,0.0,0.0,0.0,0.0
143,0.025542129349395076,0.0,0.0,0.0,0.0,0.0,0.0
144,0.02236852786087378,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
145,0.01827137551437586,0.0,0.0,0.0,0.0,0.0,0.0
146,0.015172160868310322,0.0,0.0,0.0,0.0,0.0,0.0
147,0.01315044923034338,0.0,0.0,0.0,0.0,0.0,0.0
148,0.011566609882953749,0.0,0.0,0.0,0.0,0.0,0.0
149,0.009847961223703834,0.0,0.0,0.0,0.0,0.0,0.0
150,0.00734482792053382,0.0,0.0,0.0,0.0,0.0,0.0
151,0.004669867269089817,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0032999516063605067,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0037821230740576178,0.0,0.0,0.0,0.0,0.0,0.0
154,0.006709238324175189,0.0,0.0,0.0,0.0,0.0,0.0
155,0.011215641371370343,0.0,0.18033392693348646,0.0,0.0,0.0,0.0
156,0.016393870919649202,0.0,0.0,0.0,0.0,0.0,0.0
157,0.022065915668086033,0.0,0.0,0.0,0.0,0.0,0.0
158,0.029414887448333187,0.0,0.0,0.0,0.0,0.0,0.0
159,0.04010798384228327,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
160,0.0550059736053037,0.0,0.0,0.0,0.0,0.0,0.0
161,0.06969994930182566,0.0,0.0,0.0,0.0,0.0,0.0
162,0.07644818627194751,0.0,0.0,0.0,0.0,0.0,0.0
163,0.07039401131749629,0.0,0.0,0.0,0.0,0.0,0.0
164,0.054904366493195245,0.03959037912324479,0.09016696346674323,0.0,0.0,0.0,0.0
165,0.03812614906161342,0.0,0.0,0.0,0.0,0.0,0.0
166,0.025660335872188186,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0184825493891292,0.0,0.09016696346674323,0.0,0.0,0.0,0.0
168,0.01578330910231645,0.0,0.0,0.0,0.0,0.0,0.0
169,0.015637951472544712,0.0,0.0,0.0,0.0,0.0,0.0
170,0.015873478656428464,0.0,0.0,0.0,0.0,0.0,0.0
171,0.015454458384583095,0.0,0.0,0.0,0.0,0.0,0.0
172,0.014474298636274191,0.0,0.0,0.0,0.0,0.0,0.0
173,0.01354176163159178,0.0,0.0,0.0,0.0,0.0,0.0
174,0.012931260377704513,0.0,0.0,0.0,0.0,0.0,0.0
175,0.013148405246536446,0.0,0.0,0.0,0.0,0.0,0.0
176,0.014178948707927398,0.0,0.0,0.0,0.0,0.0,0.0
177,0.01530285236320423,0.0,0.0,0.0,0.0,0.0,0.0
178,0.015620862686642423,0.0,0.0,0.0,0.0,0.0,0.0
